# ground truth trajectory
# timestamp tx ty tz qx qy qz qw
1548429827.05119 -0.455714 -1.57903 1.52106 0.209034 0.082486 -0.0478197 -0.973249
1548429827.08420 -0.454955 -1.5818 1.52111 0.208102 0.0817758 -0.0456633 -0.973613
1548429827.11788 -0.454064 -1.58444 1.52172 0.209211 0.0821801 -0.0406417 -0.973563
1548429827.15107 -0.45344 -1.58668 1.52248 0.210378 0.0819456 -0.041242 -0.973306
1548429827.18442 -0.452796 -1.58915 1.52325 0.20792 0.0832525 -0.0425587 -0.973667
1548429827.21784 -0.452301 -1.5917 1.52367 0.209456 0.0847262 -0.04127 -0.973266
1548429827.25089 -0.451517 -1.5943 1.52385 0.210678 0.0862854 -0.0387001 -0.972971
1548429827.28423 -0.450385 -1.59706 1.52393 0.21084 0.0887905 -0.0417374 -0.972585
1548429827.31759 -0.448473 -1.60026 1.52385 0.212015 0.0905116 -0.0436683 -0.972086
1548429827.35100 -0.446064 -1.60401 1.52451 0.212669 0.0900813 -0.0420528 -0.972054
1548429827.38415 -0.443429 -1.60803 1.52653 0.212049 0.0893495 -0.0429055 -0.97222
1548429827.41739 -0.440492 -1.61155 1.5297 0.212063 0.0892344 -0.0412044 -0.972301
1548429827.45079 -0.4378 -1.61401 1.53372 0.213866 0.0885192 -0.0409412 -0.971982
1548429827.48436 -0.435419 -1.61615 1.538 0.214773 0.0876111 -0.0412562 -0.971851
1548429827.51756 -0.43305 -1.61783 1.54209 0.215489 0.0874673 -0.0431264 -0.971624
1548429827.55087 -0.431188 -1.61923 1.54606 0.21496 0.0879344 -0.0436313 -0.971677
1548429827.58402 -0.42969 -1.62043 1.5493 0.215166 0.0899944 -0.0439931 -0.971426
1548429827.61767 -0.428368 -1.62133 1.55172 0.217069 0.0899032 -0.044159 -0.971004
1548429827.65100 -0.427299 -1.6219 1.55377 0.218081 0.0906918 -0.0440017 -0.970711
1548429827.68458 -0.426245 -1.62194 1.55573 0.221421 0.0915378 -0.042175 -0.969956
1548429827.71759 -0.42561 -1.62204 1.55786 0.221899 0.0918525 -0.0439808 -0.969737
1548429827.75100 -0.424923 -1.62193 1.56039 0.220647 0.0933188 -0.0431324 -0.969921
1548429827.78429 -0.424165 -1.62143 1.56272 0.221942 0.0917176 -0.0436983 -0.969753
1548429827.81759 -0.423498 -1.62066 1.56523 0.223646 0.0904172 -0.0442561 -0.969458
1548429827.85093 -0.423426 -1.61981 1.56778 0.223472 0.090393 -0.045787 -0.969429
1548429827.88426 -0.423556 -1.61908 1.57006 0.223398 0.0915047 -0.0461626 -0.969324
1548429827.91772 -0.423642 -1.61879 1.57221 0.222329 0.0914707 -0.0486895 -0.96945
1548429827.95110 -0.423714 -1.61926 1.57418 0.219623 0.0896811 -0.0511433 -0.970107
1548429827.98425 -0.424333 -1.61956 1.5755 0.218603 0.0929153 -0.0486428 -0.970162
1548429828.01789 -0.424814 -1.62044 1.57654 0.216859 0.09434 -0.0466265 -0.970514
1548429828.05073 -0.425815 -1.62174 1.57741 0.212987 0.0971353 -0.0459855 -0.971126
1548429828.08407 -0.426615 -1.623 1.57792 0.209808 0.0989172 -0.0470413 -0.971588
1548429828.11745 -0.427142 -1.62418 1.57808 0.206868 0.100285 -0.0483115 -0.972016
1548429828.15107 -0.427534 -1.62552 1.5781 0.203554 0.101475 -0.0487451 -0.97257
1548429828.18445 -0.427573 -1.62616 1.57801 0.203417 0.100393 -0.0458974 -0.97285
1548429828.21772 -0.427715 -1.62623 1.57806 0.20245 0.0981497 -0.0487004 -0.973144
1548429828.25086 -0.427951 -1.62565 1.5779 0.203265 0.0976406 -0.0480946 -0.973055
1548429828.28434 -0.428078 -1.6244 1.57755 0.205447 0.0998736 -0.0457972 -0.972481
1548429828.31774 -0.428019 -1.62323 1.57743 0.20539 0.0998053 -0.0475284 -0.972417
1548429828.35084 -0.427717 -1.62207 1.57731 0.204824 0.0986253 -0.0487475 -0.972597
1548429828.38413 -0.427405 -1.62133 1.57724 0.203047 0.0988851 -0.0493095 -0.972914
1548429828.41785 -0.427022 -1.62075 1.57708 0.201878 0.0987876 -0.0504604 -0.973108
